OBJECTID,SITE_ID,X,Y,ADDRESS_1,ADDRESS_2,ADDRESS_3,POST_CODE,KNOWN_AS,GlobalID
431,YP1305,462160.121,454491.3894,Monk's Cross Park & Ride,Monk's Cross,,YO32 9JU,,{5C13F76A-2E6E-4002-9414-F8E0E9C29BFA}
461,YP1207,464611.2125,451473.0827,Grimston Bar Park & Ride,Hull Road,,YO19 5LA,,{C27BB009-3DF2-4C04-8D03-67ED0F415A92}
447,YK1511,459817.461,451685.258,CYC West Offices,Main Building East Side,External,YO1 6GA,Over looking Hilton Emergency Exit,{1D2D280A-77BF-4ADF-B18F-4B4044525682}
477,YP1303,462278.4485,454353.5296,Monk's Cross Park & Ride,Monk's Cross,,YO32 9JU,,{5084F361-2A6C-43D9-B08B-5E25EA7BA2C2}
476,YK1049,460544.3174,451665.0021,Piccadilly,,,,,{EC845161-4F5E-4BB6-9854-573D564B4F9C}
511,YK1044,460269.5483,452671.1119,Union Terrace Car Park,(001),,,,{A5A0763C-F274-45AB-B564-00FA08D4FF4A}
516,YP1104,457882,448311,Askham Bar Park & Ride,A1036 Tadcaster Road,,Y023 2UB,,{9B85DCEC-A779-4846-B912-DECECD22E9DE}
517,YK1504,459799.7379,451716.3907,CYC West Offices,Main Building South East Corner,External,YO1 6GA,Over looking Main entrance walk way,{BE74E5B1-56B1-4357-A932-260FF84C4A9A}
543,YK1510,459798.702,451685.284,CYC West Offices,Main Building South West Side,External,YO1 6GA,Looking internal at Cycle Park,{63AAC727-1186-48C5-8CB0-6F1261A7EECB}
631,YK1077,461291.7399,451335.4207,Lawrence Street,James Street,,YO10 3BX,,{D9EEDCFF-1964-4459-86FA-437E6EC2A724}
657,YK1001,459716.244,451433.4262,Blossom Street,Queen Street,,YO24 1AJ,,{E146C13F-4BA1-4FF3-AF50-F098DE1F4FFC}
625,YK1021,459961.8213,451284.622,Nunnery Lane Car Park (002),Nunnery Lane Bottom,,,,{379F260C-9AEA-444E-9AE4-5389BEAF2DF3}
658,YK1058,458012.5648,448259.829,Copmanthorpe Link Road,Eastern Junction,,YO23 2UB,London Bridge,{39AC6CFE-F43C-4D10-BBD3-BE46B0DC0CCC}
370,YP1302,462307.0144,454422.471,Monk's Cross Park & Ride,Monk's Cross,,YO32 9JU,,{F103E007-4E42-42CE-A3C3-7DA3FE59D906}
380,YP1409,455884.9068,453261.3527,Poppleton Bar Park & Ride,North Field Lane,,YO26 6PZ,,{F92D377B-3333-46AB-AD36-D574A68CD504}
392,YK1512,459861.038,451716.293,CYC West Offices,Main Building East Side,External,YO1 6GA,Heat extractor Main Entrance Path,{A83DA0F1-749D-4506-8038-D592F52DCAE9}
404,YK1513,459832.383,451695.97,CYC West Offices,Main Building East Side,External,YO1 6GA,Over looking Main Entrance seating,{61736B03-3FF5-4E51-B4F0-5D0A7D6141CD}
407,YK1069,460876.1981,449778.0968,Fulford Road,Broadway,,YO10 4HH,,{05A61E38-EFA5-4F9C-8A61-998A3085B740}
408,YK1007,460685.1115,451236.21,Fishergate,nr Paragon Street,,YO10 4AB,,{35262DC7-84E6-432D-AE44-D310C1D36968}
348,YP1406,455820.4228,453225.846,Poppleton Bar Park & Ride,North Field Lane,,YO26 6PZ,,{8DA0CFD5-C802-43BC-8164-690DCDED1381}
656,YK1071,460922.9842,449445.9568,Fulford Road,Heslington Lane,,YO10 4PQ,,{5DDE1149-3040-4F3F-9D4F-52E4AA26527F}
336,YK1003,460109.8307,452256.0735,Bootham,St. Leonard's Place,,,,{745C01D7-162F-4296-9FA4-AD7C41D28142}
358,YP1201,464387.0532,451349.7948,Grimston Bar Park & Ride,Hull Road,,YO19 5LA,,{61AF9C24-D95B-4857-9F2E-1B2E69EBB2D6}
359,YP110D,457891,448320,Askham Bar Park & Ride,A1036 Tadcaster Road,,Y023 2UB,,{AB69229A-2AEA-4AC7-9036-7E8C9F008F9D}
366,YK1025,460356.1338,451661.9144,Low Ousegate,nr Nessgate,,YO1 9QR,Nessgate Corner,{61740DBA-6E22-43A7-93B5-CAC2CAC1F008}
369,YK1059,457495.4617,447915.4362,Copmanthorpe Link Road,Western Junction,,YO23 3XW,London Bridge,{6076FF67-25DE-426D-8BBD-EF8DA4BC3270}
470,YP1407,455821.2958,453226.5946,Poppleton Bar Park & Ride,North Field Lane,,YO26 6PZ,,{EB5E3AC9-10B9-4C4B-8B95-6AFE6BAA3E33}
465,YK1011,460185.7223,451953.712,St. Helen's Square,,,,,{D6C78FF3-2965-4EC4-9737-AD26437411E2}
435,YK1012,460323.2808,451878.6616,St. Sampson's Square,nr Browns,,,,{843C3713-C651-465A-91F4-7680629F3CF7}
438,YK1055,459786.8123,453767.9027,Crichton Avenue,Kingsway North,,,,{7788678C-2642-407B-9D6F-962FBC301C98}
486,YK1042,458061.4684,452224.4666,Boroughbridge Road,Water End,42,YO26 5RT,,{93D495EC-3DF3-4232-AB18-23B81870DB42}
495,YK1063,459963.0475,453321.8321,Burtonstone Lane,Clifton,,,,{CFA8A9B7-D88B-4D90-A330-9264A2E826BE}
506,YK1514,459845.877,451705.26,CYC West Offices,Main Building East Side,External,YO1 6GA,Over looking Main Entrance seating,{D78C1BB1-5B78-45AC-A2DE-77E842E6554B}
553,YP1405,455743.5733,453230.389,Poppleton Bar Park & Ride,North Field Lane,,YO26 6PZ,,{1F71FDF0-2C57-4240-8855-475265CDED74}
